title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate
,House,,GOP,,,,CA,,,,(916) 319-2053,,,,,,,,,,AssemblyGOP,,,,,,
,House,,Dems,,,,CA,,,,(916) 319-2053,,,,,,,,,,,,,,,,
,Senate,,,,,,CA,,,,(916) 651-4006,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,CA,,,,(916) 651-4006,,,,,,,,,,SenateRepCaucus,,,,,,
,Senate,,Dems,,,,CA,,,,(916) 651-4006,,,,,,,,,,CASenateDems,,,,,,
Gov,John,,Hickenlooper,,,,CO,,,,(303) 866-2471,,,,,,,,,,hickforco,,,,,,
Lt Gov,Joseph ,,Garcia,,,,CO,,,,303-866-2087,,,,,,,,,,,,,,,,
AG,John ,,Suthers,,,,CO,,,,720-508-6000,,,,,,,,,,,,,,,,
,House,,,,,,CO,,,,303-866-2346,,,,,,,,,,,,,,,,
,House,,GOP,,,,CO,,,,303-866-2346,,,,,,,,,,COHouseGOP,,,,,,
,House,,Dems,,,,CO,,,,303-866-2346,,,,,,,,,,cohousedems,,,,,,
,Senate,,,,,,CO,,,,303-866-3342,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,CO,,,,303-866-3342,,,,,,,,,,ColoSenGOP,,,,,,
,Senate,,Dems,,,,CO,,,,303-866-3342,,,,,,,,,,COSenDem,,,,,,
Gov,Dan ,,Malloy,,,,CT,,,,(860) 566-4840,,,,,,,,,,GovMalloyOffice,,,,,,
Lt Gov,Nancy ,,Wyman ,,,,CT,,,,(860) 524-7384,,,,,,,,,,,,,,,,
AG,George,,Jepsen,,,,CT,,,,(860) 808-5318,,,,,,,,,,AGJepsen,,,,,,
,House,,,,,,CT,,,,(860) 240-0400,,,,,,,,,,,,,,,,
,House,,GOP,,,,CT,,,,(860) 240-0400,,,,,,,,,,cthouserules,,,,,,
,House,,Dems,,,,CT,,,,(860) 240-0400,,,,,,,,,,CTHouseDems,,,,,,
,Senate,,,,,,CT,,,,860 240 0500,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,CT,,,,860 240 0500,,,,,,,,,,CTSenateGOP,,,,,,
,Senate,,Dems,,,,CT,,,,860 240 0500,,,,,,,,,,CTSenateDems,,,,,,
Gov,Jack ,,Markell,,,,DE,,,,(302) 744-4101,,,,,,,,,,GovernorMarkell,,,,,,
Lt Gov,Matthew ,,Denn,,,,DE,,,,(302) 744-4333,,,,,,,,,,Matt_Denn,,,,,,
AG,Beau ,,Biden,,,,DE,,,,(302) 577-8400,,,,,,,,,,BeauBiden,,,,,,
,House,,,,,,DE,,,,302-739-4087 ,,,,,,,,,,,,,,,,
,House,,GOP,,,,DE,,,,302-739-4087 ,,,,,,,,,,DEHouseMinority,,,,,,
,House,,Dems,,,,DE,,,,302-739-4087 ,,,,,,,,,,DEHouseDems,,,,,,
,Senate,,,,,,DE,,,,(302) 744-4129,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,DE,,,,(302) 744-4129,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,DE,,,,(302) 744-4129,,,,,,,,,,DelDems,,,,,,
Gov,Rick ,,Scott,,,,FL,,,,(850) 488-7146,,,,,,,,,,FLGovScott,,,,,,
Lt Gov,,,,,,,FL,,,,,,,,,,,,,,,,,,,,
AG,Pam,,Bondi,,,,FL,,,,850-414-3990,,,,,,,,,,PamBondi,,,,,,
,House,,,,,,FL,,,,(850) 717-5650,,,,,,,,,,,,,,,,
,House,,GOP,,,,FL,,,,(850) 717-5650,,,,,,,,,,MyFLHouse,,,,,,
,House,,Dems,,,,FL,,,,(850) 717-5650,,,,,,,,,,FLHOUSEDEMS,,,,,,
,Senate,,,,,,FL,,,,(850) 922-4990,,,,,,,,,,FloridaSenate,,,,,,
,Senate,,GOP,,,,FL,,,,(850) 922-4990,,,,,,,,,,FLSenateGOP,,,,,,
,Senate,,Dems,,,,FL,,,,(850) 922-4990,,,,,,,,,,FlaSenateDems,,,,,,
Gov,Nathan,, Deal,,,,GA,,,,404-656-1776,,,,,,,,,,GovernorDeal,,,,,,
Lt Gov,Casey ,,Cagel,,,,GA,,,,(404) 656-5030,,,,,,,,,,CaseyCagle,,,,,,
AG,Sam ,,Olens,,,,GA,,,,(404) 656-3300,,,,,,,,,,Georgia_AG,,,,,,
,House,,,,,,GA,,,,(404) 656-5015,,,,,,,,,,GaHouseHub,,,,,,
,House,,GOP,,,,GA,,,,(404) 656-5015,,,,,,,,,,,,,,,,
,House,,Dems,,,,GA,,,,(404) 656-5015,,,,,,,,,,,,,,,,
,Senate,,,,,,GA,,,,(404) 656-5040,,,,,,,,,,GASenatePress,,,,,,
,Senate,,GOP,,,,GA,,,,(404) 656-5040,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,GA,,,,(404) 656-5040,,,,,,,,,,,,,,,,
Gov,Neil ,,Abercrombie,,,,HI,,,,808-586-0034,,,,,,,,,,neilabercrombie,,,,,,
Lt Gov,Shan ,,Tsutsui,,,,HI,,,,(808) 586-0255,,,,,,,,,,,,,,,,
AG,David ,,Louie,,,,HI,,,,(808) 586-1500,,,,,,,,,,,,,,,,
,House,,,,,,HI,,,,(808) 586-6400,,,,,,,,,,,,,,,,
,House,,GOP,,,,HI,,,,(808) 586-6400,,,,,,,,,,hihouseGOP,,,,,,
,House,,Dems,,,,HI,,,,(808) 586-6400,,,,,,,,,,hihousedems,,,,,,
,Senate,,,,,,HI,,,,(808) 586-6720,,,,,,,,,,hawaiisenate,,,,,,
,Senate,,GOP,,,,HI,,,,(808) 586-6720,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,HI,,,,(808) 586-6720,,,,,,,,,,,,,,,,
Gov,Butch,,Otter,,,,ID,,,,(208) 334-2100,,,,,,,,,,ButchOtter,,,,,,
Lt Gov,Brad ,,Little,,,,ID,,,,(208) 334-2200,,,,,,,,,,LtGovBradLittle,,,,,,
AG,Lawrence,,Wasden,,,,ID,,,,(208) 334-2400,,,,,,,,,,,,,,,,
,House,,,,,,ID,,,,208-334-2475,,,,,,,,,,,,,,,,
,House,,GOP,,,,ID,,,,208-334-2475,,,,,,,,,,,,,,,,
,House,,Dems,,,,ID,,,,208-334-2475,,,,,,,,,,,,,,,,
,Senate,,,,,,ID,,,,208-334-2475,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,ID,,,,208-334-2475,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,ID,,,,208-334-2475,,,,,,,,,,,,,,,,
Gov,Pat ,,Quinn,,,,IL,,,,217-782-0244,,,,,,,,,,GovernorQuinn,,,,,,
Lt Gov,Sheila ,,Simon,,,,IL,,,,217-558-3085,,,,,,,,,,LtGovSimon,,,,,,
AG,Lisa ,,Madigan,,,,IL,,,,(217) 782-1090 ,,,,,,,,,,LisaforIL,,,,,,
,House,,,,,,IL,,,,217-782-3944,,,,,,,,,,,,,,,,
,House,,GOP,,,,IL,,,,217-782-3944,,,,,,,,,,ilhousegop,,,,,,
,House,,Dems,,,,IL,,,,217-782-3944,,,,,,,,,,,,,,,,
,Senate,,,,,,IL,,,,217-782-3944,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,IL,,,,217-782-3944,,,,,,,,,,ilsenategop,,,,,,
,Senate,,Dems,,,,IL,,,,217-782-3944,,,,,,,,,,ilsendems,,,,,,
Gov,Mike ,,Pence,,,,IN,,,,317-232-4567,,,,,,,,,,GovPenceIN,,,,,,
Lt Gov,Sue ,,Ellsperman,,,,IN,,,,317-232-4545,,,,,,,,,,SueEllspermann,,,,,,
AG,Greg ,,Zoeller,,,,IN,,,,317.232.6201,,,,,,,,,,INATTYGENERAL,,,,,,
,House,,,,,,IN,,,,(317) 232-9856,,,,,,,,,,,,,,,,
,House,,GOP,,,,IN,,,,(317) 232-9856,,,,,,,,,,INHouseGOP,,,,,,
,House,,Dems,,,,IN,,,,(317) 232-9856,,,,,,,,,,inhsedems,,,,,,
,Senate,,,,,,IN,,,,(317) 232-9856,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,IN,,,,(317) 232-9856,,,,,,,,,,insmcc,,,,,,
,Senate,,Dems,,,,IN,,,,(317) 232-9856,,,,,,,,,,INSenDems,,,,,,
Gov,Terry ,,Branstad,,,,IA,,,,515.281.5211,,,,,,,,,,TerryBranstad,,,,,,
Lt Gov,Kim ,,Reynolds,,,,IA,,,,515.281.5211,,,,,,,,,,KimReynoldsIA,,,,,,
AG,Tom  ,,Miller,,,,IA,,,,515-281-5164,,,,,,,,,,,,,,,,
,House,,,,,,IA,,,,(515) 281-3221,,,,,,,,,,,,,,,,
,House,,GOP,,,,IA,,,,(515) 281-3221,,,,,,,,,,IaHouserepubs,,,,,,
,House,,Dems,,,,IA,,,,(515) 281-3221,,,,,,,,,,iahousedemocrat,,,,,,
,Senate,,,,,,IA,,,,(515) 281-3371,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,IA,,,,(515) 281-3371,,,,,,,,,,IASenateGOP,,,,,,
,Senate,,Dems,,,,IA,,,,(515) 281-3371,,,,,,,,,,IowaSenate,,,,,,
Gov,Sam,,Brownback,,,,KS,,,,785-368-8500,,,,,,,,,,govsambrownback,,,,,,
Lt Gov,Jeff ,,Coyler,,,,KS,,,,785-296-2214,,,,,,,,,,,,,,,,
AG,Derek ,,Schmidt,,,,KS,,,,(785) 296-2215,,,,,,,,,,@KSAGOffice,,,,,,
,House,,,,,,KS,,,,785-296-2391,,,,,,,,,,,,,,,,
,House,,GOP,,,,KS,,,,785-296-2391,,,,,,,,,,,,,,,,
,House,,Dems,,,,KS,,,,785-296-2391,,,,,,,,,,kshousedems,,,,,,
,Senate,,,,,,KS,,,,785-296-2391,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,KS,,,,785-296-2391,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,KS,,,,785-296-2391,,,,,,,,,,kssenatedems,,,,,,
Gov,Steve ,,Beshear,,,,KY,,,,(502) 564-2611,,,,,,,,,,GovSteveBeshear,,,,,,
Lt Gov,Jerry ,,Abramson,,,,KY,,,,(502) 564-2611,,,,,,,,,,LtGovAbramson,,,,,,
AG,Jack ,,Conway,,,,KY,,,,(502) 696-5300,,,,,,,,,,kyoag,,,,,,
,House,,,,,,KY,,,,502-564-8100,,,,,,,,,,,,,,,,
,House,,GOP,,,,KY,,,,502-564-8100,,,,,,,,,,kyhousegop,,,,,,
,House,,Dems,,,,KY,,,,502-564-8100,,,,,,,,,,KYHouseDems,,,,,,
,Senate,,,,,,KY,,,,502-564-8100,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,KY,,,,502-564-8100,,,,,,,,,,KYSenateGOP,,,,,,
,Senate,,Dems,,,,KY,,,,502-564-8100,,,,,,,,,,KYSenateDems,,,,,,
Gov,Bobby ,,Jindal,,,,LA,,,,225-342-7015,,,,,,,,,,BobbyJindal,,,,,,
Lt Gov,Jay ,,Dardenne,,,,LA,,,,(225) 342-7009,,,,,,,,,,JayDardenne,,,,,,
AG,Buddy,,Caldwell,,,,LA,,,,225-326-6079,,,,,,,,,,LouisianaAGO,,,,,,
,House,,,,,,LA,,,,225-342-2456,,,,,,,,,,,,,,,,
,House,,GOP,,,,LA,,,,225-342-2456,,,,,,,,,,,,,,,,
,House,,Dems,,,,LA,,,,225-342-2456,,,,,,,,,,,,,,,,
,Senate,,,,,,LA,,,,225-342-2456,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,LA,,,,225-342-2456,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,LA,,,,225-342-2456,,,,,,,,,,,,,,,,
Gov,Paul ,,LePage,,,,ME,,,,207-287-3531,,,,,,,,,,Governor_LePage,,,,,,
AG,Janet,,Mills,,,,ME,,,,207-626-8800,,,,,,,,,,,,,,,,
,House,,,,,,ME,,,,(207) 287-1400,,,,,,,,,,,,,,,,
,House,,GOP,,,,ME,,,,(207) 287-1400,,,,,,,,,,,,,,,,
,House,,Dems,,,,ME,,,,(207) 287-1400,,,,,,,,,,MaineHouseDems,,,,,,
,Senate,,,,,,ME,,,,207-287-1515,,,,,,,,,,ME_Senate,,,,,,
,Senate,,GOP,,,,ME,,,,207-287-1515,,,,,,,,,,MaineSenateGOP,,,,,,
,Senate,,Dems,,,,ME,,,,207-287-1515,,,,,,,,,,,,,,,,
Gov,Martin ,,O'Malley,,,,MD,,,,410.974.3901,,,,,,,,,,GovernorOMalley,,,,,,
Lt Gov,Anthony ,,Brown,,,,MD,,,,410-974-2804,,,,,,,,,,ltgovbrown,,,,,,
AG,Doug ,,Gansler,,,,MD,,,,(410) 576-6300,,,,,,,,,,DougGansler,,,,,,
,House,,GOP,,,,MD,,,,410-946-5400,,,,,,,,,,,,,,,,
,House,,Dems,,,,MD,,,,410-946-5400,,,,,,,,,,,,,,,,
,Senate,,,,,,MD,,,,410-946-5400,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,MD,,,,410-946-5400,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,MD,,,,410-946-5400,,,,,,,,,,,,,,,,
Gov,Deval ,,Patrick,,,,MA,,,,617.725.4005,,,,,,,,,,MassGovernor,,,,,,
Lt Gov,Timothy ,,Murray,,,,MA,,,,617.725.4005,,,,,,,,,,MassLtGov,,,,,,
AG,Martha ,,Coakley,,,,MA,,,,(617) 727-2200,,,,,,,,,,MassAGO,,,,,,
,House,,,,,,MA,,,,617-722-2356,,,,,,,,,,,,,,,,
,House,,GOP,,,,MA,,,,617-722-2356,,,,,,,,,,,,,,,,
,House,,Dems,,,,MA,,,,617-722-2356,,,,,,,,,,,,,,,,
,Senate,,,,,,MA,,,,617-722-1276,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,MA,,,,617-722-1276,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,MA,,,,617-722-1276,,,,,,,,,,,,,,,,
Gov,Rick ,,Snyder,,,,MI,,,,(517) 335-7858,,,,,,,,,,onetoughnerd,,,,,,
Lt Gov,Brian ,,Calley,,,,MI,,,,517-335-7858,,,,,,,,,,briancalley,,,,,,
AG,Bill ,,Schuette,,,,MI,,,,(517) 373-1110,,,,,,,,,,SchuetteOnDuty,,,,,,
,House,,,,,,MI,,,,517.373.0135 ,,,,,,,,,,,,,,,,
,House,,GOP,,,,MI,,,,517.373.0135 ,,,,,,,,,,MIHouseGOP,,,,,,
,House,,Dems,,,,MI,,,,517.373.0135 ,,,,,,,,,,MIHouseDems,,,,,,
,Senate,,,,,,MI,,,,517-373-2400,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,MI,,,,517-373-2400,,,,,,,,,,MISenate,,,,,,
,Senate,,Dems,,,,MI,,,,517-373-2400,,,,,,,,,,MISenDems,,,,,,
Gov,Mark ,,Dayton,,,,MN,,,,651-201-3400,,,,,,,,,,GovMarkDayton,,,,,,
Lt Gov,Yvonne ,,Prettner Solon,,,,MN,,,,651-201-3400,,,,,,,,,,,,,,,,
AG,Lori ,,Swanson,,,,MN,,,,(651) 296-3353 ,,,,,,,,,,,,,,,,
,House,,,,,,MN,,,,651-296-2146,,,,,,,,,,,,,,,,
,House,,GOP,,,,MN,,,,651-296-2146,,,,,,,,,,mnhousegop,,,,,,
,House,,Dems,,,,MN,,,,651-296-2146,,,,,,,,,,mnhouseDFL,,,,,,
,Senate,,,,,,MN,,,,651-296-0504,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,MN,,,,651-296-0504,,,,,,,,,,mnsrc,,,,,,
,Senate,,Dems,,,,MN,,,,651-296-0504,,,,,,,,,,SenateDFL,,,,,,
Gov,Phil ,,Bryant,,,,MS,,,,601.359.3150,,,,,,,,,,PhilBryantMS,,,,,,
Lt Gov,Tate ,,Reeves,,,,MS,,,,(601) 359-3200,,,,,,,,,,tatereeves,,,,,,
AG,Jim ,,Hood,,,,MS,,,,601-359-3680,,,,,,,,,,AGJimHood,,,,,,
,House,,,,,,MS,,,,(601 )359-3770,,,,,,,,,,,,,,,,
,House,,GOP,,,,MS,,,,(601 )359-3770,,,,,,,,,,,,,,,,
,House,,Dems,,,,MS,,,,(601 )359-3770,,,,,,,,,,,,,,,,
,Senate,,,,,,MS,,,,(601 )359-3770,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,MS,,,,(601 )359-3770,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,MS,,,,(601 )359-3770,,,,,,,,,,,,,,,,
Gov,Jay ,,Nixon,,,,MO,,,,(573) 751-0290,,,,,,,,,,GovJayNixon,,,,,,
Lt Gov,Peter ,,Kinder,,,,MO,,,,573.751.4727,,,,,,,,,,PeterKinder,,,,,,
AG,Chris ,,Koster,,,,MO,,,,573-751-3321,,,,,,,,,,Koster4Missouri,,,,,,
,House,,,,,,MO,,,,(573) 751-4017,,,,,,,,,,,,,,,,
,House,,GOP,,,,MO,,,,(573) 751-4017,,,,,,,,,,,,,,,,
,House,,Dems,,,,MO,,,,(573) 751-4017,,,,,,,,,,MOHDCC,,,,,,
,Senate,,,,,,MO,,,,(573) 751-3824,,,,,,,,,,MissouriSenate,,,,,,
,Senate,,GOP,,,,MO,,,,(573) 751-3824,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,MO,,,,(573) 751-3824,,,,,,,,,,,,,,,,
Gov,Steve ,,Bullock,,,,MT,,,,406-444-3111,,,,,,,,,,BullockWalshMT,,,,,,
Lt Gov,John ,,Walsh,,,,MT,,,,406-444-3111,,,,,,,,,,BullockWalshMT,,,,,,
AG,Tim ,,Fox,,,,MT,,,,(406) 444-2026,,,,,,,,,,timcfox,,,,,,
,House,,,,,,MT,,,,(406) 444-3064,,,,,,,,,,MTLegislature,,,,,,
,House,,GOP,,,,MT,,,,(406) 444-3064,,,,,,,,,,,,,,,,
,House,,Dems,,,,MT,,,,(406) 444-3064,,,,,,,,,,,,,,,,
,Senate,,,,,,MT,,,,(406) 444-3064,,,,,,,,,,MTLegislature,,,,,,
,Senate,,GOP,,,,MT,,,,(406) 444-3064,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,MT,,,,(406) 444-3064,,,,,,,,,,,,,,,,
Gov,Dave ,,Heineman,,,,NE,,,,402-471-2244,,,,,,,,,,Gov_Heineman,,,,,,
Lt Gov,Lavon ,,Heidemann,,,,NE,,,,(402) 471-2256,,,,,,,,,,,,,,,,
AG,Jon ,,Bruning,,,,NE,,,,(402) 471-2682,,,,,,,,,,JonBruning,,,,,,
,Senate,,,,,,NE,,,,(402) 471-2788,,,,,,,,,,UnicamUpdate,,,,,,
,Senate,,GOP,,,,NE,,,,(402) 471-2788,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,NE,,,,(402) 471-2788,,,,,,,,,,,,,,,,
Gov,Brian ,,Sandoval,,,,NV,,,,(775) 684-5670,,,,,,,,,,GovSandoval,,,,,,
Lt Gov,Brian ,,Krolicki,,,,NV,,,,(775) 684-7111,,,,,,,,,,BrianKrolicki,,,,,,
AG,Catherine ,,Cortez Masto,,,,NV,,,,(775) 684-1100,,,,,,,,,,NevadaAG,,,,,,
,House,,,,,,NV,,,,775-684-6800,,,,,,,,,,,,,,,,
,House,,GOP,,,,NV,,,,775-684-6800,,,,,,,,,,,,,,,,
,House,,Dems,,,,NV,,,,775-684-6800,,,,,,,,,,nvassemblydems,,,,,,
,Senate,,,,,,NV,,,,775-684-6789,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,NV,,,,775-684-6789,,,,,,,,,,NVGOPSenate,,,,,,
,Senate,,Dems,,,,NV,,,,775-684-6789,,,,,,,,,,NVSenateDems,,,,,,
Gov,Maggie ,,Hassan,,,,NH,,,,(603) 271-2121,,,,,,,,,,GovernorHassan,,,,,,
AG,,,,,,,NH,,,,,,,,,,,,,,,,,,,,
,House,,,,,,NH,,,,(603) 271-3661,,,,,,,,,,NHHouseofReps,,,,,,
,House,,GOP,,,,NH,,,,(603) 271-3661,,,,,,,,,,,,,,,,
,House,,Dems,,,,NH,,,,(603) 271-3661,,,,,,,,,,,,,,,,
,Senate,,,,,,NH,,,,(603) 271-2111,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,NH,,,,(603) 271-2111,,,,,,,,,,NHGOPSenate,,,,,,
,Senate,,Dems,,,,NH,,,,(603) 271-2111,,,,,,,,,,,,,,,,
Gov,Chris ,,Christie,,,,NJ,,,,609-292-6000,,,,,,,,,,GovChristie,,,,,,
Lt Gov,Kim ,,Guadagno,,,,NJ,,,,609-292-6000,,,,,,,,,,sheriffkim,,,,,,
AG,Jeffrey ,,Chiesa,,,,NJ,,,,609-292-4925,,,,,,,,,,,,,,,,
,House,,,,,,NJ,,,,609-847-3905,,,,,,,,,,,,,,,,
,House,,GOP,,,,NJ,,,,609-847-3905,,,,,,,,,,AssemblyNJ,,,,,,
,House,,Dems,,,,NJ,,,,609-847-3905,,,,,,,,,,njassemblydems,,,,,,
,Senate,,,,,,NJ,,,,609-847-3905,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,NJ,,,,609-847-3905,,,,,,,,,,senatenj,,,,,,
,Senate,,Dems,,,,NJ,,,,609-847-3905,,,,,,,,,,NJSenDems,,,,,,
Gov,Susana ,,Martinez,,,,NM,,,,(505) 476-2200,,,,,,,,,,Gov_Martinez,,,,,,
Lt Gov,John ,,Sanchez,,,,NM,,,,(505) 476-2250,,,,,,,,,,LtGovSanchez,,,,,,
AG,Gary ,,King,,,,NM,,,,(505) 827-6000,,,,,,,,,,NewMexicoAGO,,,,,,
,House,,,,,,NM,,,,(505) 986-4751,,,,,,,,,,NMLegislature,,,,,,
,House,,GOP,,,,NM,,,,(505) 986-4751,,,,,,,,,,,,,,,,
,House,,Dems,,,,NM,,,,(505) 986-4751,,,,,,,,,,NMHouseDems,,,,,,
,Senate,,,,,,NM,,,,(505) 986-4714,,,,,,,,,,NMLegislature,,,,,,
,Senate,,GOP,,,,NM,,,,(505) 986-4714,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,NM,,,,(505) 986-4714,,,,,,,,,,NMSenate,,,,,,
Gov,Andrew ,,Cuomo,,,,NY,,,,(518) 474-8390,,,,,,,,,,NYGovCuomo,,,,,,
Lt Gov,Bob ,,Duffy,,,,NY,,,,(518) 474-8390,,,,,,,,,,,,,,,,
AG,Eric ,,Schneiderman,,,,NY,,,,(518) 474-5481,,,,,,,,,,AGSchneiderman,,,,,,
,House,,,,,,NY,,,,(518) 455-4218,,,,,,,,,,NYSA_Majority,,,,,,
,House,,GOP,,,,NY,,,,(518) 455-4218,,,,,,,,,,,,,,,,
,House,,Dems,,,,NY,,,,(518) 455-4218,,,,,,,,,,,,,,,,
,Senate,,,,,,NY,,,,(518) 455-4218,,,,,,,,,,NYSenate,,,,,,
,Senate,,GOP,,,,NY,,,,(518) 455-4218,,,,,,,,,,,,,,,,
,Senate,,Dems,,,,NY,,,,(518) 455-4218,,,,,,,,,,,,,,,,
Gov,Pat ,,McCrory,,,,NC,,,,(919) 733-5811,,,,,,,,,,PatMcCroryNC,,,,,,
Lt Gov,Dan ,,Forest,,,,NC,,,,(919) 733-7350,,,,,,,,,,DanForestNC,,,,,,
AG,Roy ,,Cooper,,,,NC,,,,(919) 716-6400,,,,,,,,,,NCAGO,,,,,,
,House,,,,,,NC,,,,919-733-7928,,,,,,,,,,,,,,,,
,House,,GOP,,,,NC,,,,919-733-7928,,,,,,,,,,NCHouseGOP,,,,,,
,House,,Dems,,,,NC,,,,919-733-7928,,,,,,,,,,nchousedems,,,,,,
,Senate,,,,,,NC,,,,919-733-7928,,,,,,,,,,,,,,,,
,Senate,,GOP,,,,NC,,,,919-733-7928,,,,,,,,,,MyNCSenate,,,,,,
,Senate,,Dems,,,,NC,,,,919-733-7928,,,,,,,,,,NCForward,,,,,,
